Rule 1:: Host 1-> Host 2, ingress=of:0000000000000001:1, egress=of:0000000000000001:2
Rule 2:: Host 1-> Host 3, ingress=of:0000000000000001:1, egress=of:0000000000000001:3
Rule 3:: Host 1-> Host 4, ingress=of:0000000000000001:1, egress=of:0000000000000001:4
Rule 4:: Host 1-> Host 5, ingress=of:0000000000000001:1, egress=of:0000000000000001:5
Rule 5:: Host 1-> Host 6, ingress=of:0000000000000001:1, egress=of:0000000000000001:6
Rule 6:: Host 1-> Host 7, ingress=of:0000000000000001:1, egress=of:0000000000000001:7
Rule 7:: Host 1-> Host 8, ingress=of:0000000000000001:1, egress=of:0000000000000001:8
Rule 8:: Host 1-> Host 9, ingress=of:0000000000000001:1, egress=of:0000000000000001:9
Rule 9:: Host 1-> Host 10, ingress=of:0000000000000001:1, egress=of:0000000000000001:10
Rule 10:: Host 2-> Host 1, ingress=of:0000000000000001:2, egress=of:0000000000000001:1
Rule 11:: Host 2-> Host 3, ingress=of:0000000000000001:2, egress=of:0000000000000001:3
Rule 12:: Host 2-> Host 4, ingress=of:0000000000000001:2, egress=of:0000000000000001:4
Rule 13:: Host 2-> Host 5, ingress=of:0000000000000001:2, egress=of:0000000000000001:5
Rule 14:: Host 2-> Host 6, ingress=of:0000000000000001:2, egress=of:0000000000000001:6
Rule 15:: Host 2-> Host 7, ingress=of:0000000000000001:2, egress=of:0000000000000001:7
Rule 16:: Host 2-> Host 8, ingress=of:0000000000000001:2, egress=of:0000000000000001:8
Rule 17:: Host 2-> Host 9, ingress=of:0000000000000001:2, egress=of:0000000000000001:9
Rule 18:: Host 2-> Host 10, ingress=of:0000000000000001:2, egress=of:0000000000000001:10
Rule 19:: Host 3-> Host 1, ingress=of:0000000000000001:3, egress=of:0000000000000001:1
Rule 20:: Host 3-> Host 2, ingress=of:0000000000000001:3, egress=of:0000000000000001:2
Rule 21:: Host 3-> Host 4, ingress=of:0000000000000001:3, egress=of:0000000000000001:4
Rule 22:: Host 3-> Host 5, ingress=of:0000000000000001:3, egress=of:0000000000000001:5
Rule 23:: Host 3-> Host 6, ingress=of:0000000000000001:3, egress=of:0000000000000001:6
Rule 24:: Host 3-> Host 7, ingress=of:0000000000000001:3, egress=of:0000000000000001:7
Rule 25:: Host 3-> Host 8, ingress=of:0000000000000001:3, egress=of:0000000000000001:8
Rule 26:: Host 3-> Host 9, ingress=of:0000000000000001:3, egress=of:0000000000000001:9
Rule 27:: Host 3-> Host 10, ingress=of:0000000000000001:3, egress=of:0000000000000001:10
Rule 28:: Host 4-> Host 1, ingress=of:0000000000000001:4, egress=of:0000000000000001:1
Rule 29:: Host 4-> Host 2, ingress=of:0000000000000001:4, egress=of:0000000000000001:2
Rule 30:: Host 4-> Host 3, ingress=of:0000000000000001:4, egress=of:0000000000000001:3
Rule 31:: Host 4-> Host 5, ingress=of:0000000000000001:4, egress=of:0000000000000001:5
Rule 32:: Host 4-> Host 6, ingress=of:0000000000000001:4, egress=of:0000000000000001:6
Rule 33:: Host 4-> Host 7, ingress=of:0000000000000001:4, egress=of:0000000000000001:7
Rule 34:: Host 4-> Host 8, ingress=of:0000000000000001:4, egress=of:0000000000000001:8
Rule 35:: Host 4-> Host 9, ingress=of:0000000000000001:4, egress=of:0000000000000001:9
Rule 36:: Host 4-> Host 10, ingress=of:0000000000000001:4, egress=of:0000000000000001:10
Rule 37:: Host 5-> Host 1, ingress=of:0000000000000001:5, egress=of:0000000000000001:1
Rule 38:: Host 5-> Host 2, ingress=of:0000000000000001:5, egress=of:0000000000000001:2
Rule 39:: Host 5-> Host 3, ingress=of:0000000000000001:5, egress=of:0000000000000001:3
Rule 40:: Host 5-> Host 4, ingress=of:0000000000000001:5, egress=of:0000000000000001:4
Rule 41:: Host 5-> Host 6, ingress=of:0000000000000001:5, egress=of:0000000000000001:6
Rule 42:: Host 5-> Host 7, ingress=of:0000000000000001:5, egress=of:0000000000000001:7
Rule 43:: Host 5-> Host 8, ingress=of:0000000000000001:5, egress=of:0000000000000001:8
Rule 44:: Host 5-> Host 9, ingress=of:0000000000000001:5, egress=of:0000000000000001:9
Rule 45:: Host 5-> Host 10, ingress=of:0000000000000001:5, egress=of:0000000000000001:10
Rule 46:: Host 6-> Host 1, ingress=of:0000000000000001:6, egress=of:0000000000000001:1
Rule 47:: Host 6-> Host 2, ingress=of:0000000000000001:6, egress=of:0000000000000001:2
Rule 48:: Host 6-> Host 3, ingress=of:0000000000000001:6, egress=of:0000000000000001:3
Rule 49:: Host 6-> Host 4, ingress=of:0000000000000001:6, egress=of:0000000000000001:4
Rule 50:: Host 6-> Host 5, ingress=of:0000000000000001:6, egress=of:0000000000000001:5
Rule 51:: Host 6-> Host 7, ingress=of:0000000000000001:6, egress=of:0000000000000001:7
Rule 52:: Host 6-> Host 8, ingress=of:0000000000000001:6, egress=of:0000000000000001:8
Rule 53:: Host 6-> Host 9, ingress=of:0000000000000001:6, egress=of:0000000000000001:9
Rule 54:: Host 6-> Host 10, ingress=of:0000000000000001:6, egress=of:0000000000000001:10
Rule 55:: Host 7-> Host 1, ingress=of:0000000000000001:7, egress=of:0000000000000001:1
Rule 56:: Host 7-> Host 2, ingress=of:0000000000000001:7, egress=of:0000000000000001:2
Rule 57:: Host 7-> Host 3, ingress=of:0000000000000001:7, egress=of:0000000000000001:3
Rule 58:: Host 7-> Host 4, ingress=of:0000000000000001:7, egress=of:0000000000000001:4
Rule 59:: Host 7-> Host 5, ingress=of:0000000000000001:7, egress=of:0000000000000001:5
Rule 60:: Host 7-> Host 6, ingress=of:0000000000000001:7, egress=of:0000000000000001:6
Rule 61:: Host 7-> Host 8, ingress=of:0000000000000001:7, egress=of:0000000000000001:8
Rule 62:: Host 7-> Host 9, ingress=of:0000000000000001:7, egress=of:0000000000000001:9
Rule 63:: Host 7-> Host 10, ingress=of:0000000000000001:7, egress=of:0000000000000001:10
Rule 64:: Host 8-> Host 1, ingress=of:0000000000000001:8, egress=of:0000000000000001:1
Rule 65:: Host 8-> Host 2, ingress=of:0000000000000001:8, egress=of:0000000000000001:2
Rule 66:: Host 8-> Host 3, ingress=of:0000000000000001:8, egress=of:0000000000000001:3
Rule 67:: Host 8-> Host 4, ingress=of:0000000000000001:8, egress=of:0000000000000001:4
Rule 68:: Host 8-> Host 5, ingress=of:0000000000000001:8, egress=of:0000000000000001:5
Rule 69:: Host 8-> Host 6, ingress=of:0000000000000001:8, egress=of:0000000000000001:6
Rule 70:: Host 8-> Host 7, ingress=of:0000000000000001:8, egress=of:0000000000000001:7
Rule 71:: Host 8-> Host 9, ingress=of:0000000000000001:8, egress=of:0000000000000001:9
Rule 72:: Host 8-> Host 10, ingress=of:0000000000000001:8, egress=of:0000000000000001:10
Rule 73:: Host 9-> Host 1, ingress=of:0000000000000001:9, egress=of:0000000000000001:1
Rule 74:: Host 9-> Host 2, ingress=of:0000000000000001:9, egress=of:0000000000000001:2
Rule 75:: Host 9-> Host 3, ingress=of:0000000000000001:9, egress=of:0000000000000001:3
Rule 76:: Host 9-> Host 4, ingress=of:0000000000000001:9, egress=of:0000000000000001:4
Rule 77:: Host 9-> Host 5, ingress=of:0000000000000001:9, egress=of:0000000000000001:5
Rule 78:: Host 9-> Host 6, ingress=of:0000000000000001:9, egress=of:0000000000000001:6
