Rule 1:: Host 1-> Host 2, ingress=of:0000000000000001:1, egress=of:0000000000000001:2, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:02, src_ip=10.0.0.1/32, dst_ip=10.0.0.2/32, src_tcp=80, dst_tcp=80
Rule 2:: Host 1-> Host 3, ingress=of:0000000000000001:1, egress=of:0000000000000001:3, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:03, src_ip=10.0.0.1/32, dst_ip=10.0.0.3/32, src_tcp=80, dst_tcp=80
Rule 3:: Host 1-> Host 4, ingress=of:0000000000000001:1, egress=of:0000000000000001:4, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:04, src_ip=10.0.0.1/32, dst_ip=10.0.0.4/32, src_tcp=80, dst_tcp=80
Rule 4:: Host 1-> Host 5, ingress=of:0000000000000001:1, egress=of:0000000000000001:11, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:0b, src_ip=10.0.0.1/32, dst_ip=10.0.0.11/32, src_tcp=80, dst_tcp=80
Rule 5:: Host 1-> Host 6, ingress=of:0000000000000001:1, egress=of:0000000000000001:12, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:0c, src_ip=10.0.0.1/32, dst_ip=10.0.0.12/32, src_tcp=80, dst_tcp=80
Rule 6:: Host 1-> Host 7, ingress=of:0000000000000001:1, egress=of:0000000000000001:13, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:0d, src_ip=10.0.0.1/32, dst_ip=10.0.0.13/32, src_tcp=80, dst_tcp=80
Rule 7:: Host 1-> Host 8, ingress=of:0000000000000001:1, egress=of:0000000000000001:14, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:0e, src_ip=10.0.0.1/32, dst_ip=10.0.0.14/32, src_tcp=80, dst_tcp=80
Rule 8:: Host 1-> Host 9, ingress=of:0000000000000001:1, egress=of:0000000000000001:15, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:0f, src_ip=10.0.0.1/32, dst_ip=10.0.0.15/32, src_tcp=80, dst_tcp=80
Rule 9:: Host 1-> Host 10, ingress=of:0000000000000001:1, egress=of:0000000000000001:16, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:10, src_ip=10.0.0.1/32, dst_ip=10.0.0.16/32, src_tcp=80, dst_tcp=80
Rule 10:: Host 2-> Host 1, ingress=of:0000000000000001:2, egress=of:0000000000000001:1, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:01, src_ip=10.0.0.2/32, dst_ip=10.0.0.1/32, src_tcp=80, dst_tcp=80
Rule 11:: Host 2-> Host 3, ingress=of:0000000000000001:2, egress=of:0000000000000001:3, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:03, src_ip=10.0.0.2/32, dst_ip=10.0.0.3/32, src_tcp=80, dst_tcp=80
Rule 12:: Host 2-> Host 4, ingress=of:0000000000000001:2, egress=of:0000000000000001:4, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:04, src_ip=10.0.0.2/32, dst_ip=10.0.0.4/32, src_tcp=80, dst_tcp=80
Rule 13:: Host 2-> Host 5, ingress=of:0000000000000001:2, egress=of:0000000000000001:11, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:0b, src_ip=10.0.0.2/32, dst_ip=10.0.0.11/32, src_tcp=80, dst_tcp=80
Rule 14:: Host 2-> Host 6, ingress=of:0000000000000001:2, egress=of:0000000000000001:12, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:0c, src_ip=10.0.0.2/32, dst_ip=10.0.0.12/32, src_tcp=80, dst_tcp=80
Rule 15:: Host 2-> Host 7, ingress=of:0000000000000001:2, egress=of:0000000000000001:13, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:0d, src_ip=10.0.0.2/32, dst_ip=10.0.0.13/32, src_tcp=80, dst_tcp=80
Rule 16:: Host 2-> Host 8, ingress=of:0000000000000001:2, egress=of:0000000000000001:14, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:0e, src_ip=10.0.0.2/32, dst_ip=10.0.0.14/32, src_tcp=80, dst_tcp=80
Rule 17:: Host 2-> Host 9, ingress=of:0000000000000001:2, egress=of:0000000000000001:15, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:0f, src_ip=10.0.0.2/32, dst_ip=10.0.0.15/32, src_tcp=80, dst_tcp=80
Rule 18:: Host 2-> Host 10, ingress=of:0000000000000001:2, egress=of:0000000000000001:16, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:10, src_ip=10.0.0.2/32, dst_ip=10.0.0.16/32, src_tcp=80, dst_tcp=80
Rule 19:: Host 3-> Host 1, ingress=of:0000000000000001:3, egress=of:0000000000000001:1, src_mac=00:00:00:00:00:03, dst_mac=00:00:00:00:00:01, src_ip=10.0.0.3/32, dst_ip=10.0.0.1/32, src_tcp=80, dst_tcp=80
Rule 20:: Host 3-> Host 2, ingress=of:0000000000000001:3, egress=of:0000000000000001:2, src_mac=00:00:00:00:00:03, dst_mac=00:00:00:00:00:02, src_ip=10.0.0.3/32, dst_ip=10.0.0.2/32, src_tcp=80, dst_tcp=80
Rule 21:: Host 3-> Host 4, ingress=of:0000000000000001:3, egress=of:0000000000000001:4, src_mac=00:00:00:00:00:03, dst_mac=00:00:00:00:00:04, src_ip=10.0.0.3/32, dst_ip=10.0.0.4/32, src_tcp=80, dst_tcp=80
Rule 22:: Host 3-> Host 5, ingress=of:0000000000000001:3, egress=of:0000000000000001:11, src_mac=00:00:00:00:00:03, dst_mac=00:00:00:00:00:0b, src_ip=10.0.0.3/32, dst_ip=10.0.0.11/32, src_tcp=80, dst_tcp=80
Rule 23:: Host 3-> Host 6, ingress=of:0000000000000001:3, egress=of:0000000000000001:12, src_mac=00:00:00:00:00:03, dst_mac=00:00:00:00:00:0c, src_ip=10.0.0.3/32, dst_ip=10.0.0.12/32, src_tcp=80, dst_tcp=80
Rule 24:: Host 3-> Host 7, ingress=of:0000000000000001:3, egress=of:0000000000000001:13, src_mac=00:00:00:00:00:03, dst_mac=00:00:00:00:00:0d, src_ip=10.0.0.3/32, dst_ip=10.0.0.13/32, src_tcp=80, dst_tcp=80
Rule 25:: Host 3-> Host 8, ingress=of:0000000000000001:3, egress=of:0000000000000001:14, src_mac=00:00:00:00:00:03, dst_mac=00:00:00:00:00:0e, src_ip=10.0.0.3/32, dst_ip=10.0.0.14/32, src_tcp=80, dst_tcp=80
Rule 26:: Host 3-> Host 9, ingress=of:0000000000000001:3, egress=of:0000000000000001:15, src_mac=00:00:00:00:00:03, dst_mac=00:00:00:00:00:0f, src_ip=10.0.0.3/32, dst_ip=10.0.0.15/32, src_tcp=80, dst_tcp=80
Rule 27:: Host 3-> Host 10, ingress=of:0000000000000001:3, egress=of:0000000000000001:16, src_mac=00:00:00:00:00:03, dst_mac=00:00:00:00:00:10, src_ip=10.0.0.3/32, dst_ip=10.0.0.16/32, src_tcp=80, dst_tcp=80
Rule 28:: Host 4-> Host 1, ingress=of:0000000000000001:4, egress=of:0000000000000001:1, src_mac=00:00:00:00:00:04, dst_mac=00:00:00:00:00:01, src_ip=10.0.0.4/32, dst_ip=10.0.0.1/32, src_tcp=80, dst_tcp=80
Rule 29:: Host 4-> Host 2, ingress=of:0000000000000001:4, egress=of:0000000000000001:2, src_mac=00:00:00:00:00:04, dst_mac=00:00:00:00:00:02, src_ip=10.0.0.4/32, dst_ip=10.0.0.2/32, src_tcp=80, dst_tcp=80
Rule 30:: Host 4-> Host 3, ingress=of:0000000000000001:4, egress=of:0000000000000001:3, src_mac=00:00:00:00:00:04, dst_mac=00:00:00:00:00:03, src_ip=10.0.0.4/32, dst_ip=10.0.0.3/32, src_tcp=80, dst_tcp=80
Rule 31:: Host 4-> Host 5, ingress=of:0000000000000001:4, egress=of:0000000000000001:11, src_mac=00:00:00:00:00:04, dst_mac=00:00:00:00:00:0b, src_ip=10.0.0.4/32, dst_ip=10.0.0.11/32, src_tcp=80, dst_tcp=80
Rule 32:: Host 4-> Host 6, ingress=of:0000000000000001:4, egress=of:0000000000000001:12, src_mac=00:00:00:00:00:04, dst_mac=00:00:00:00:00:0c, src_ip=10.0.0.4/32, dst_ip=10.0.0.12/32, src_tcp=80, dst_tcp=80
Rule 33:: Host 4-> Host 7, ingress=of:0000000000000001:4, egress=of:0000000000000001:13, src_mac=00:00:00:00:00:04, dst_mac=00:00:00:00:00:0d, src_ip=10.0.0.4/32, dst_ip=10.0.0.13/32, src_tcp=80, dst_tcp=80
Rule 34:: Host 4-> Host 8, ingress=of:0000000000000001:4, egress=of:0000000000000001:14, src_mac=00:00:00:00:00:04, dst_mac=00:00:00:00:00:0e, src_ip=10.0.0.4/32, dst_ip=10.0.0.14/32, src_tcp=80, dst_tcp=80
Rule 35:: Host 4-> Host 9, ingress=of:0000000000000001:4, egress=of:0000000000000001:15, src_mac=00:00:00:00:00:04, dst_mac=00:00:00:00:00:0f, src_ip=10.0.0.4/32, dst_ip=10.0.0.15/32, src_tcp=80, dst_tcp=80
Rule 36:: Host 4-> Host 10, ingress=of:0000000000000001:4, egress=of:0000000000000001:16, src_mac=00:00:00:00:00:04, dst_mac=00:00:00:00:00:10, src_ip=10.0.0.4/32, dst_ip=10.0.0.16/32, src_tcp=80, dst_tcp=80
Rule 37:: Host 5-> Host 1, ingress=of:0000000000000001:11, egress=of:0000000000000001:1, src_mac=00:00:00:00:00:0b, dst_mac=00:00:00:00:00:01, src_ip=10.0.0.11/32, dst_ip=10.0.0.1/32, src_tcp=80, dst_tcp=80
Rule 38:: Host 5-> Host 2, ingress=of:0000000000000001:11, egress=of:0000000000000001:2, src_mac=00:00:00:00:00:0b, dst_mac=00:00:00:00:00:02, src_ip=10.0.0.11/32, dst_ip=10.0.0.2/32, src_tcp=80, dst_tcp=80
Rule 39:: Host 5-> Host 3, ingress=of:0000000000000001:11, egress=of:0000000000000001:3, src_mac=00:00:00:00:00:0b, dst_mac=00:00:00:00:00:03, src_ip=10.0.0.11/32, dst_ip=10.0.0.3/32, src_tcp=80, dst_tcp=80
Rule 40:: Host 5-> Host 4, ingress=of:0000000000000001:11, egress=of:0000000000000001:4, src_mac=00:00:00:00:00:0b, dst_mac=00:00:00:00:00:04, src_ip=10.0.0.11/32, dst_ip=10.0.0.4/32, src_tcp=80, dst_tcp=80
Rule 41:: Host 5-> Host 6, ingress=of:0000000000000001:5, egress=of:0000000000000001:12, src_mac=00:00:00:00:00:05, dst_mac=00:00:00:00:00:0c, src_ip=10.0.0.5/32, dst_ip=10.0.0.12/32, src_tcp=80, dst_tcp=80
Rule 42:: Host 5-> Host 7, ingress=of:0000000000000001:5, egress=of:0000000000000001:13, src_mac=00:00:00:00:00:05, dst_mac=00:00:00:00:00:0d, src_ip=10.0.0.5/32, dst_ip=10.0.0.13/32, src_tcp=80, dst_tcp=80
Rule 43:: Host 5-> Host 8, ingress=of:0000000000000001:5, egress=of:0000000000000001:14, src_mac=00:00:00:00:00:05, dst_mac=00:00:00:00:00:0e, src_ip=10.0.0.5/32, dst_ip=10.0.0.14/32, src_tcp=80, dst_tcp=80
